symmetric,input_dim,latent_dim,target_ratio,ratio,hidden_layers,seed,mse_mean,mse_std,mse_p95,mae_mean,mae_std
True,128,16,8,8.0,2,6,4.23546,7.2601604,14.229731750488263,1.5192666,1.0405687
False,128,16,8,8.0,2,6,4.8469987,7.7319474,14.229810714721678,1.6050409,1.1270545
True,128,16,8,8.0,2,7,3.261378,5.0370417,11.691438102722158,1.3258188,0.90833193
False,128,16,8,8.0,2,7,4.145266,5.4275966,13.784090995788555,1.5359459,0.95817274
True,128,16,8,8.0,2,8,5.1790123,8.985884,16.702662658691388,1.6675134,1.2031568
False,128,16,8,8.0,2,8,4.3039904,5.2439337,13.359860801696765,1.5711902,0.9745301
True,128,16,8,8.0,2,9,4.314865,11.818798,13.35266418457031,1.4477142,1.1998279
False,128,16,8,8.0,2,9,5.2607274,10.741863,15.803109550476071,1.6328113,1.2505879
True,128,8,16,16.0,2,0,5.2488017,6.8783336,18.618640136718742,1.7037928,1.0807287
False,128,8,16,16.0,2,0,4.995107,5.957921,15.962809562683104,1.6794255,0.98652214
True,128,8,16,16.0,2,1,6.047862,7.936451,18.860476303100562,1.8104788,1.1770146
False,128,8,16,16.0,2,1,5.346221,6.1990814,19.551723480224588,1.739204,1.0226427
True,128,8,16,16.0,2,2,5.933914,6.4305434,19.037083435058587,1.8721242,1.0429267
False,128,8,16,16.0,2,2,6.098325,7.585432,19.74077529907225,1.8401287,1.1705424
True,128,8,16,16.0,2,3,6.121799,11.481863,19.978179931640614,1.7920684,1.2480252
False,128,8,16,16.0,2,3,5.9785585,8.193895,21.186846542358392,1.8072963,1.1555293
True,128,8,16,16.0,2,4,5.1390142,6.376799,18.02493095397948,1.7025713,1.0041711
False,128,8,16,16.0,2,4,5.6168385,6.7551746,18.652554321289035,1.7711002,1.0488003
True,128,8,16,16.0,2,5,6.1221104,7.2786527,20.8495002746582,1.8704602,1.1058276
False,128,8,16,16.0,2,5,5.889823,8.087936,20.571218109130847,1.8053269,1.149104
True,128,8,16,16.0,2,6,6.1509275,8.873443,16.51339950561523,1.84988,1.135453
False,128,8,16,16.0,2,6,5.2091393,6.6411057,20.868732452392553,1.6970471,1.0698355
True,128,8,16,16.0,2,7,5.401984,7.131071,16.835108566284173,1.7250217,1.0919871
False,128,8,16,16.0,2,7,6.4565244,8.672354,22.69539680480956,1.8787646,1.2403291
True,128,8,16,16.0,2,8,6.1153297,7.249424,18.005442428588857,1.8668584,1.1090566
False,128,8,16,16.0,2,8,5.3623557,6.528498,17.040724563598605,1.7524269,1.0313033
True,128,8,16,16.0,2,9,5.632266,7.1833506,21.5848152160644,1.7889967,1.1032788
False,128,8,16,16.0,2,9,5.478242,7.879242,15.87459316253662,1.7330784,1.1268945
True,128,4,32,32.0,2,0,7.0590405,7.9179993,18.95984039306639,2.0094302,1.0677075
False,128,4,32,32.0,2,0,7.625436,16.143206,19.375100326538085,1.9817191,1.3215617
True,128,4,32,32.0,2,1,6.499875,7.1018147,16.930617904663084,1.9056199,1.0365009
False,128,4,32,32.0,2,1,7.8102007,8.251837,24.08669624328613,2.1107833,1.1666858
True,128,4,32,32.0,2,2,10.046339,12.670453,35.638637542724595,2.356439,1.4327961
False,128,4,32,32.0,2,2,10.459926,17.907057,29.71869316101074,2.3753586,1.5263418
True,128,4,32,32.0,2,3,7.1127977,10.295053,18.82078323364257,1.9957371,1.1490722
False,128,4,32,32.0,2,3,7.3411584,8.806561,21.740227508544887,2.050231,1.1367544
True,128,4,32,32.0,2,4,7.8877287,9.643836,20.30564193725585,2.1101544,1.1599879
False,128,4,32,32.0,2,4,7.8757753,9.672575,25.519252014160127,2.1140053,1.1793629
True,128,4,32,32.0,2,5,7.1721416,8.120137,22.939957427978513,2.0194263,1.1177979
False,128,4,32,32.0,2,5,8.500538,16.26967,23.940517807006827,2.126874,1.3690436
True,128,4,32,32.0,2,6,6.2732716,7.0409727,15.56539916992186,1.8876606,0.98694575
False,128,4,32,32.0,2,6,8.922982,13.2379675,28.787207794189445,2.2124448,1.3198332
True,128,4,32,32.0,2,7,7.2629404,8.122855,19.620803070068355,2.0305111,1.0637909
False,128,4,32,32.0,2,7,10.766215,25.246506,28.71312828063964,2.3178227,1.6851249
True,128,4,32,32.0,2,8,6.870372,7.498679,22.004796218872045,1.9546553,1.0694335
False,128,4,32,32.0,2,8,8.527179,10.292278,31.39697380065917,2.190077,1.3221166
True,128,4,32,32.0,2,9,7.770919,8.93322,26.1305335998535,2.101991,1.1414329
False,128,4,32,32.0,2,9,9.649979,13.846776,34.070692443847655,2.2577267,1.4540501
True,256,128,2,2.0,2,0,14.255476,26.565674,59.11757602691626,2.5788987,1.9718163
False,256,128,2,2.0,2,0,12.334909,30.275291,41.23730821609482,2.2857819,1.9938952
True,256,128,2,2.0,2,1,13.672514,19.258205,34.481496238708495,2.7463405,1.6955503
False,256,128,2,2.0,2,1,8.252964,17.151358,24.223105430603002,1.9981136,1.4450165
True,256,128,2,2.0,2,2,15.161066,32.399246,64.80055427551252,2.5697167,2.1823342
